user_name,email,account_type,gender,password,joining_date,"(""Jaquelyn Yalçın"", ""jaquelynyaln@gmail.ca"", 'customer' , 'male', ""BXD61MPX6YY"", ""2022-10-26""),"
Caesar Akça,caesaraka@gmail.org,'artist' ,'male',TTU36ZHW6PI,5/31/2021,"(""Erica Sarıkaya"", ""ericasarkaya@gmail.org"", 'customer' , 'female', ""NBI86WUN0JY"", ""2022-01-07""),"
Erica Sarıkaya,ericasarkaya@gmail.org,'customer' ,'female',NBI86WUN0JY,1/7/2022,"(""Benjamin Chakrabarti"", ""benjaminchakrabarti1752@gmail.org"", 'customer' , 'male', ""GTG42ZWK6HL"", ""2021-05-31""),"
Benjamin Chakrabarti,benjaminchakrabarti1752@gmail.org,'customer' ,'male',GTG42ZWK6HL,5/31/2021,"(""Melanie Varol"", ""melanievarol8797@gmail.com"", 'artist' , 'female', ""VMU30REO0UE"", ""2021-09-14""),"
Melanie Varol,melanievarol8797@gmail.com,'artist' ,'female',VMU30REO0UE,9/14/2021,"(""Keegan Kuş"", ""keeganku@gmail.org"", 'artist' , 'male', ""UBQ22YSP6EH"", ""2022-07-22""),"
Keegan Kuş,keeganku@gmail.org,'artist' ,'male',UBQ22YSP6EH,7/22/2022,"(""Whoopi Thiarre"", ""whoopithiarre@gmail.ca"", 'customer' , 'female', ""YCV54VPL9NS"", ""2021-09-21""),"
Whoopi Thiarre,whoopithiarre@gmail.ca,'customer' ,'female',YCV54VPL9NS,9/21/2021,"(""Ariana Abagun"", ""arianaabagun6981@gmail.couk"", 'artist' , 'female', ""WZW21QYB2XV"", ""2021-05-26""),"
Ariana Abagun,arianaabagun6981@gmail.couk,'artist' ,'female',WZW21QYB2XV,5/26/2021,"(""Yen Campbell"", ""yencampbell@gmail.org"", 'artist' , 'male', ""FGR08CKD8SV"", ""2022-02-17""),"
Yen Campbell,yencampbell@gmail.org,'artist' ,'male',FGR08CKD8SV,2/17/2022,"(""Herrod Nguyễn"", ""herrodnguyn4262@gmail.org"", 'artist' , 'male', ""RBJ15LQC8PC"", ""2021-02-09""),"
Herrod Nguyễn,herrodnguyn4262@gmail.org,'artist' ,'male',RBJ15LQC8PC,2/9/2021,"(""Brielle Bao"", ""briellebao@gmail.ca"", 'artist' , 'male', ""JLK66HRB7GE"", ""2022-01-11""),"
Brielle Bao,briellebao@gmail.ca,'artist' ,'male',JLK66HRB7GE,1/11/2022,"(""Emi Jara"", ""emijara@gmail.org"", 'customer' , 'male', ""DJS39FPG9TZ"", ""2022-11-04""),"
Emi Jara,emijara@gmail.org,'customer' ,'male',DJS39FPG9TZ,11/4/2022,"(""Helen Aneke"", ""helenaneke6107@gmail.org"", 'customer' , 'female', ""OIG56NQU9SP"", ""2021-10-24""),"
Helen Aneke,helenaneke6107@gmail.org,'customer' ,'female',OIG56NQU9SP,10/24/2021,"(""Aquila Thiarre"", ""aquilathiarre2501@gmail.net"", 'customer' , 'male', ""FRX22UOT2ZH"", ""2022-08-05""),"
Aquila Thiarre,aquilathiarre2501@gmail.net,'customer' ,'male',FRX22UOT2ZH,8/5/2022,"(""Halee Nunez"", ""haleenunez@gmail.edu"", 'artist' , 'female', ""KVG53KEV3BX"", ""2022-04-15""),"
Halee Nunez,haleenunez@gmail.edu,'artist' ,'female',KVG53KEV3BX,4/15/2022,"(""Buckminster Maria"", ""buckminstermaria8556@gmail.edu"", 'customer' , 'female', ""MNV61UXG6JG"", ""2022-07-01""),"
Buckminster Maria,buckminstermaria8556@gmail.edu,'customer' ,'female',MNV61UXG6JG,7/1/2022,"(""Paloma Neelam"", ""palomaneelam8453@gmail.net"", 'customer' , 'female', ""NHM85FVJ4FL"", ""2022-05-14""),"
Paloma Neelam,palomaneelam8453@gmail.net,'customer' ,'female',NHM85FVJ4FL,5/14/2022,"(""Jack Gwarzo"", ""jackgwarzo@gmail.ca"", 'customer' , 'female', ""XEE45GKP6EO"", ""2021-11-09""),"
Jack Gwarzo,jackgwarzo@gmail.ca,'customer' ,'female',XEE45GKP6EO,11/9/2021,"(""Forrest Ryan"", ""forrestryan9453@gmail.com"", 'customer' , 'male', ""ZSP37NUL2BW"", ""2021-09-05""),"
Forrest Ryan,forrestryan9453@gmail.com,'customer' ,'male',ZSP37NUL2BW,9/5/2021,"(""Liberty Adewusi"", ""libertyadewusi3426@gmail.org"", 'customer' , 'male', ""ORT36DTB5QT"", ""2022-08-12""),"
Liberty Adewusi,libertyadewusi3426@gmail.org,'customer' ,'male',ORT36DTB5QT,8/12/2022,"(""Zenia Abaribe"", ""zeniaabaribe6336@gmail.net"", 'artist' , 'male', ""HHM92PVU0RG"", ""2021-03-31""),"
Zenia Abaribe,zeniaabaribe6336@gmail.net,'artist' ,'male',HHM92PVU0RG,3/31/2021,"(""Shad Ameobi"", ""shadameobi@gmail.ca"", 'customer' , 'female', ""UEK18LOW0XI"", ""2022-07-12""),"
Shad Ameobi,shadameobi@gmail.ca,'customer' ,'female',UEK18LOW0XI,7/12/2022,"(""Blythe Robertson"", ""blytherobertson@gmail.com"", 'artist' , 'female', ""XRD81MRV5MF"", ""2022-02-13""),"
Blythe Robertson,blytherobertson@gmail.com,'artist' ,'female',XRD81MRV5MF,2/13/2022,"(""Aidan Krishnamurthy"", ""(""Jaquelyn Yalçın"", ""jaquelynyaln@gmail.ca"", 'customer' , 'male', ""BXD61MPX6YY"", ""44860"", ""(""Calvin Nguyễn"", ""calvinnguyn5943@gmail.net"", 'artist' , 'male', ""HWQ54MNM2WD"", ""2021-01-23""),""),"", 'artist' , 'male', ""CLB42PIB1EU"", ""2021-04-11""),"
Aidan Krishnamurthy,"(""Jaquelyn Yalçın"", ""jaquelynyaln@gmail.ca"", 'customer' , 'male', ""BXD61MPX6YY"", ""44860"", ""(""Calvin Nguyễn"", ""calvinnguyn5943@gmail.net"", 'artist' , 'male', ""HWQ54MNM2WD"", ""2021-01-23""),""),",'artist' ,'male',CLB42PIB1EU,4/11/2021,"(""Dennis Nguyễn"", ""dennisnguyn@gmail.net"", 'artist' , 'female', ""LXF22GWH1MW"", ""2021-10-27""),"
Dennis Nguyễn,dennisnguyn@gmail.net,'artist' ,'female',LXF22GWH1MW,10/27/2021,"(""Carol Abaribe"", ""carolabaribe@gmail.ca"", 'artist' , 'male', ""CFD89VOC5VB"", ""2021-01-15""),"
Carol Abaribe,carolabaribe@gmail.ca,'artist' ,'male',CFD89VOC5VB,1/15/2021,"(""Angelica Wilson"", ""angelicawilson978@gmail.net"", 'artist' , 'female', ""MKL42CGW7PH"", ""2022-01-18""),"
Angelica Wilson,angelicawilson978@gmail.net,'artist' ,'female',MKL42CGW7PH,1/18/2022,"(""Blossom Castro"", ""blossomcastro@gmail.org"", 'artist' , 'male', ""HBC77JEI5QK"", ""2022-09-19""),"
Blossom Castro,blossomcastro@gmail.org,'artist' ,'male',HBC77JEI5QK,9/19/2022,"(""Vincent Contreras"", ""vincentcontreras@gmail.com"", 'customer' , 'female', ""IWN33QRV8WE"", ""2021-02-11""),"
Vincent Contreras,vincentcontreras@gmail.com,'customer' ,'female',IWN33QRV8WE,2/11/2021,"(""Coby Eroğlu"", ""cobyerolu8020@gmail.ca"", 'customer' , 'female', ""NCF34SYV6YF"", ""2020-12-16""),"
Coby Eroğlu,cobyerolu8020@gmail.ca,'customer' ,'female',NCF34SYV6YF,12/16/2020,"(""Shay Ignacio"", ""shayignacio9685@gmail.net"", 'artist' , 'female', ""BJZ47SVF4WJ"", ""2020-12-13""),"
Shay Ignacio,shayignacio9685@gmail.net,'artist' ,'female',BJZ47SVF4WJ,12/13/2020,"(""Anthony Engineer"", ""anthonyengineer@gmail.net"", 'customer' , 'female', ""DIA33CTU5AD"", ""2022-06-10""),"
Anthony Engineer,anthonyengineer@gmail.net,'customer' ,'female',DIA33CTU5AD,6/10/2022,"(""Burke Ogedegbe"", ""burkeogedegbe1995@gmail.ca"", 'customer' , 'male', ""IGH17PEI8WZ"", ""2022-04-19""),"
Burke Ogedegbe,burkeogedegbe1995@gmail.ca,'customer' ,'male',IGH17PEI8WZ,4/19/2022,"(""Shelley Adewusi"", ""shelleyadewusi@gmail.ca"", 'artist' , 'male', ""NOO07MMM2XD"", ""2020-12-10""),"
Shelley Adewusi,shelleyadewusi@gmail.ca,'artist' ,'male',NOO07MMM2XD,12/10/2020,"(""Meghan Bingöl"", ""meghanbingl@gmail.edu"", 'customer' , 'male', ""MDB42MPX7RD"", ""2022-09-25""),"
Meghan Bingöl,meghanbingl@gmail.edu,'customer' ,'male',MDB42MPX7RD,9/25/2022,"(""Ariel Đồng"", ""arielng542@gmail.edu"", 'artist' , 'female', ""UFQ45VUX2TM"", ""2021-10-21""),"
Ariel Đồng,arielng542@gmail.edu,'artist' ,'female',UFQ45VUX2TM,10/21/2021,"(""Eaton Nguyễn"", ""eatonnguyn8544@gmail.net"", 'artist' , 'female', ""CRN19APD3UX"", ""2021-11-26""),"
Eaton Nguyễn,eatonnguyn8544@gmail.net,'artist' ,'female',CRN19APD3UX,11/26/2021,"(""Vaughan Soni"", ""vaughansoni4094@gmail.org"", 'artist' , 'male', ""CIH38VOV5NJ"", ""2021-09-30""),"
Vaughan Soni,vaughansoni4094@gmail.org,'artist' ,'male',CIH38VOV5NJ,9/30/2021,"(""Emmanuel Campbell"", ""emmanuelcampbell@gmail.net"", 'customer' , 'female', ""LSE24JGQ6WO"", ""2021-11-19""),"
Emmanuel Campbell,emmanuelcampbell@gmail.net,'customer' ,'female',LSE24JGQ6WO,11/19/2021,"(""Marsden Yên"", ""marsdenyn2005@gmail.couk"", 'artist' , 'male', ""HKK38LKI6ZB"", ""2022-06-02""),"
Marsden Yên,marsdenyn2005@gmail.couk,'artist' ,'male',HKK38LKI6ZB,6/2/2022,"(""Chiquita Subram"", ""chiquitasubram@gmail.com"", 'artist' , 'female', ""LER41WFL9PF"", ""2022-04-11""),"
Chiquita Subram,chiquitasubram@gmail.com,'artist' ,'female',LER41WFL9PF,4/11/2022,"(""Rajah Mateo"", ""rajahmateo@gmail.edu"", 'artist' , 'female', ""YJJ78JIE3WY"", ""2021-04-27""),"
Rajah Mateo,rajahmateo@gmail.edu,'artist' ,'female',YJJ78JIE3WY,4/27/2021,"(""Tiger Felipe"", ""tigerfelipe@gmail.edu"", 'artist' , 'female', ""BGT34EBG2IO"", ""2021-02-06""),"
Tiger Felipe,tigerfelipe@gmail.edu,'artist' ,'female',BGT34EBG2IO,2/6/2021,"(""Dexter Buraimoh"", ""dexterburaimoh@gmail.edu"", 'artist' , 'male', ""KCD83VYX5PM"", ""2022-09-16""),"
Dexter Buraimoh,dexterburaimoh@gmail.edu,'artist' ,'male',KCD83VYX5PM,9/16/2022,"(""Oliver Yüksel"", ""oliveryksel@gmail.org"", 'customer' , 'female', ""XNS97OIB4BT"", ""2021-05-09""),"
Oliver Yüksel,oliveryksel@gmail.org,'customer' ,'female',XNS97OIB4BT,5/9/2021,"(""Ivor Bentlee"", ""ivorbentlee@gmail.org"", 'artist' , 'female', ""CFM80YGO3CM"", ""2022-11-11""),"
Ivor Bentlee,ivorbentlee@gmail.org,'artist' ,'female',CFM80YGO3CM,11/11/2022,"(""Ann Buraimoh"", ""annburaimoh@gmail.ca"", 'customer' , 'female', ""SZR58CHY6DW"", ""2021-10-30""),"
Ann Buraimoh,annburaimoh@gmail.ca,'customer' ,'female',SZR58CHY6DW,10/30/2021,"(""Zahir Demirbaş"", ""zahirdemirba3434@gmail.org"", 'customer' , 'female', ""IEU71XUD8FQ"", ""2022-02-09""),"
Zahir Demirbaş,zahirdemirba3434@gmail.org,'customer' ,'female',IEU71XUD8FQ,2/9/2022,"(""Marcia Özçelik"", ""marciazelik@gmail.couk"", 'artist' , 'male', ""UQP12UCE8QS"", ""2022-02-03""),"
Marcia Özçelik,marciazelik@gmail.couk,'artist' ,'male',UQP12UCE8QS,2/3/2022,"(""Amal Laouali"", ""amallaouali5403@gmail.net"", 'artist' , 'female', ""OMD74YGE8ML"", ""2022-06-08""),"
Amal Laouali,amallaouali5403@gmail.net,'artist' ,'female',OMD74YGE8ML,6/8/2022,"(""Jordan Nguyễn"", ""jordannguyn@gmail.ca"", 'artist' , 'female', ""CDA56HQF5CM"", ""2021-01-20""),"
Jordan Nguyễn,jordannguyn@gmail.ca,'artist' ,'female',CDA56HQF5CM,1/20/2021,"(""Jena Rajan"", ""jenarajan3606@gmail.com"", 'artist' , 'male', ""PXW83QQH2ZF"", ""2022-07-20""),"
Jena Rajan,jenarajan3606@gmail.com,'artist' ,'male',PXW83QQH2ZF,7/20/2022,"(""Lars Ataş"", ""larsata@gmail.ca"", 'artist' , 'male', ""MSP63EXS5DY"", ""2022-10-29""),"
Lars Ataş,larsata@gmail.ca,'artist' ,'male',MSP63EXS5DY,10/29/2022,"(""Irma Onoja"", ""irmaonoja328@gmail.net"", 'customer' , 'female', ""GKW70CJS0EF"", ""2020-12-18""),"
Irma Onoja,irmaonoja328@gmail.net,'customer' ,'female',GKW70CJS0EF,12/18/2020,"(""Minerva Güzel"", ""minervagzel@gmail.ca"", 'customer' , 'female', ""KKH80NPA3TR"", ""2022-05-06""),"
Minerva Güzel,minervagzel@gmail.ca,'customer' ,'female',KKH80NPA3TR,5/6/2022,"(""Bevis Ayanbadejo"", ""bevisayanbadejo@gmail.couk"", 'customer' , 'male', ""EZY12XAJ5WN"", ""2022-05-19""),"
Bevis Ayanbadejo,bevisayanbadejo@gmail.couk,'customer' ,'male',EZY12XAJ5WN,5/19/2022,"(""Maxine Luis"", ""maxineluis317@gmail.couk"", 'customer' , 'male', ""PFI72QOW8OS"", ""2022-04-14""),"
Maxine Luis,maxineluis317@gmail.couk,'customer' ,'male',PFI72QOW8OS,4/14/2022,"(""Gareth Harris"", ""garethharris3573@gmail.net"", 'customer' , 'male', ""ZJK78LGY5HZ"", ""2022-07-30""),"
Gareth Harris,garethharris3573@gmail.net,'customer' ,'male',ZJK78LGY5HZ,7/30/2022,"(""Yvonne Catalina"", ""yvonnecatalina@gmail.net"", 'customer' , 'female', ""KFJ73XON7MA"", ""2021-10-21""),"
Yvonne Catalina,yvonnecatalina@gmail.net,'customer' ,'female',KFJ73XON7MA,10/21/2021,"(""Rebekah Kapoor"", ""rebekahkapoor6478@gmail.ca"", 'customer' , 'male', ""BQK23SVW3JO"", ""2021-04-30""),"
Rebekah Kapoor,rebekahkapoor6478@gmail.ca,'customer' ,'male',BQK23SVW3JO,4/30/2021,"(""Hedy Fuwape"", ""hedyfuwape2871@gmail.net"", 'artist' , 'female', ""PQD47PFM6QI"", ""2021-03-06""),"
Hedy Fuwape,hedyfuwape2871@gmail.net,'artist' ,'female',PQD47PFM6QI,3/6/2021,"(""Cameran Chibuzor"", ""cameranchibuzor@gmail.net"", 'customer' , 'male', ""URA61VSH3VG"", ""2020-12-20""),"
Cameran Chibuzor,cameranchibuzor@gmail.net,'customer' ,'male',URA61VSH3VG,12/20/2020,"(""Hedda Pia"", ""heddapia@gmail.org"", 'artist' , 'female', ""MLG49VWT1WI"", ""2021-11-10""),"
Hedda Pia,heddapia@gmail.org,'artist' ,'female',MLG49VWT1WI,11/10/2021,"(""TaShya Laura"", ""tashyalaura4892@gmail.com"", 'artist' , 'male', ""QLW49BET6UF"", ""2021-03-09""),"
TaShya Laura,tashyalaura4892@gmail.com,'artist' ,'male',QLW49BET6UF,3/9/2021,"(""Ori Arun"", ""oriarun@gmail.net"", 'artist' , 'male', ""OCM00RTN3LJ"", ""2021-08-10""),"
Ori Arun,oriarun@gmail.net,'artist' ,'male',OCM00RTN3LJ,8/10/2021,"(""Baxter Đinh"", ""baxterinh4403@gmail.ca"", 'customer' , 'female', ""IWH24RXN7AK"", ""2021-01-19""),"
Baxter Đinh,baxterinh4403@gmail.ca,'customer' ,'female',IWH24RXN7AK,1/19/2021,"(""Cain Jara"", ""cainjara@gmail.edu"", 'artist' , 'female', ""NYI73WDD1BV"", ""2021-04-06""),"
Cain Jara,cainjara@gmail.edu,'artist' ,'female',NYI73WDD1BV,4/6/2021,"(""Burton Nguyễn"", ""burtonnguyn@gmail.couk"", 'artist' , 'female', ""FHQ62VHP9IQ"", ""2021-10-24""),"
Burton Nguyễn,burtonnguyn@gmail.couk,'artist' ,'female',FHQ62VHP9IQ,10/24/2021,"(""Charde Price"", ""chardeprice@gmail.edu"", 'customer' , 'female', ""QDZ08OVN6OA"", ""2021-09-23""),"
Charde Price,chardeprice@gmail.edu,'customer' ,'female',QDZ08OVN6OA,9/23/2021,"(""Mark Shan"", ""markshan7797@gmail.net"", 'customer' , 'female', ""YFD51TPR6PO"", ""2021-01-31""),"
Mark Shan,markshan7797@gmail.net,'customer' ,'female',YFD51TPR6PO,1/31/2021,"(""Randall Ramirez"", ""randallramirez9057@gmail.edu"", 'artist' , 'female', ""SSF46WOQ7CG"", ""2021-05-22""),"
Randall Ramirez,randallramirez9057@gmail.edu,'artist' ,'female',SSF46WOQ7CG,5/22/2021,"(""Yuli Karabulut"", ""yulikarabulut@gmail.com"", 'customer' , 'male', ""UUB46SCU1OR"", ""2022-02-17""),"
Yuli Karabulut,yulikarabulut@gmail.com,'customer' ,'male',UUB46SCU1OR,2/17/2022,"(""Paul Brown"", ""paulbrown@gmail.couk"", 'artist' , 'male', ""MLS63OZZ1VP"", ""2021-12-27""),"
Paul Brown,paulbrown@gmail.couk,'artist' ,'male',MLS63OZZ1VP,12/27/2021,"(""Jacqueline Çakmak"", ""jacquelineakmak9259@gmail.edu"", 'customer' , 'female', ""RLE77OQX7FM"", ""2021-01-21""),"
Jacqueline Çakmak,jacquelineakmak9259@gmail.edu,'customer' ,'female',RLE77OQX7FM,1/21/2021,"(""Russell Güleç"", ""russellgle9400@gmail.org"", 'artist' , 'male', ""EYT36HKH6UX"", ""2021-03-04""),"
Russell Güleç,russellgle9400@gmail.org,'artist' ,'male',EYT36HKH6UX,3/4/2021,"(""Hilel Jai"", ""hileljai8673@gmail.ca"", 'artist' , 'female', ""UWF32PII0IH"", ""2022-05-06""),"
Hilel Jai,hileljai8673@gmail.ca,'artist' ,'female',UWF32PII0IH,5/6/2022,"(""Bianca Stewart"", ""biancastewart6163@gmail.couk"", 'artist' , 'male', ""EVT78QRV8EI"", ""2022-09-04""),"
Bianca Stewart,biancastewart6163@gmail.couk,'artist' ,'male',EVT78QRV8EI,9/4/2022,"(""Tanisha White"", ""tanishawhite9971@gmail.couk"", 'customer' , 'female', ""SNO26CTJ6ND"", ""2022-11-18""),"
Tanisha White,tanishawhite9971@gmail.couk,'customer' ,'female',SNO26CTJ6ND,11/18/2022,"(""Christian Kara"", ""christiankara@gmail.ca"", 'customer' , 'female', ""BAX26FGU2QM"", ""2021-01-21""),"
Christian Kara,christiankara@gmail.ca,'customer' ,'female',BAX26FGU2QM,1/21/2021,"(""Ali Maikori"", ""alimaikori1485@gmail.ca"", 'customer' , 'male', ""QHE47NHP6TG"", ""2021-12-09""),"
Ali Maikori,alimaikori1485@gmail.ca,'customer' ,'male',QHE47NHP6TG,12/9/2021,"(""Omar Nguyễn"", ""omarnguyn7844@gmail.net"", 'customer' , 'female', ""VYP84VLL4FN"", ""2022-02-05""),"
Omar Nguyễn,omarnguyn7844@gmail.net,'customer' ,'female',VYP84VLL4FN,2/5/2022,"(""Rahim Vasquez"", ""rahimvasquez9548@gmail.com"", 'artist' , 'female', ""FVD18OPO1IG"", ""2022-03-31""),"
Rahim Vasquez,rahimvasquez9548@gmail.com,'artist' ,'female',FVD18OPO1IG,3/31/2022,"(""Grace Maria"", ""gracemaria@gmail.org"", 'artist' , 'female', ""MWA54QXT1JW"", ""2022-07-06""),"
Grace Maria,gracemaria@gmail.org,'artist' ,'female',MWA54QXT1JW,7/6/2022,"(""Mia Zuniga"", ""miazuniga3524@gmail.net"", 'artist' , 'male', ""KOW19HKD6FD"", ""2021-12-14""),"
Mia Zuniga,miazuniga3524@gmail.net,'artist' ,'male',KOW19HKD6FD,12/14/2021,"(""Kimberley Smith"", ""kimberleysmith@gmail.net"", 'customer' , 'male', ""PVD81NJC9VR"", ""2022-10-03""),"
Kimberley Smith,kimberleysmith@gmail.net,'customer' ,'male',PVD81NJC9VR,10/3/2022,"(""Keith İnce"", ""keithnce@gmail.org"", 'artist' , 'female', ""FIK28GMR2JT"", ""2022-11-08""),"
Keith İnce,keithnce@gmail.org,'artist' ,'female',FIK28GMR2JT,11/8/2022,"(""Jada Torun"", ""jadatorun@gmail.ca"", 'artist' , 'female', ""HSJ07RSL7YE"", ""2022-01-12""),"
Jada Torun,jadatorun@gmail.ca,'artist' ,'female',HSJ07RSL7YE,1/12/2022,"(""Preston Umelo"", ""prestonumelo2714@gmail.edu"", 'customer' , 'female', ""TOO63HOE6LG"", ""2021-11-08""),"
Preston Umelo,prestonumelo2714@gmail.edu,'customer' ,'female',TOO63HOE6LG,11/8/2021,"(""Rigel Efe"", ""rigelefe@gmail.edu"", 'customer' , 'female', ""HYU18JMG2YJ"", ""2021-04-30""),"
Rigel Efe,rigelefe@gmail.edu,'customer' ,'female',HYU18JMG2YJ,4/30/2021,"(""Nell Sài"", ""nellsi3762@gmail.ca"", 'customer' , 'female', ""RYY42KJG3NP"", ""2022-04-23""),"
Nell Sài,nellsi3762@gmail.ca,'customer' ,'female',RYY42KJG3NP,4/23/2022,"(""Gretchen Nguyễn"", ""gretchennguyn@gmail.net"", 'customer' , 'female', ""GKW38IZP8YT"", ""2021-07-17""),"
Gretchen Nguyễn,gretchennguyn@gmail.net,'customer' ,'female',GKW38IZP8YT,7/17/2021,"(""Rudyard Kumar"", ""rudyardkumar@gmail.com"", 'customer' , 'female', ""RBM88DRR4PK"", ""2022-03-07""),"
Rudyard Kumar,rudyardkumar@gmail.com,'customer' ,'female',RBM88DRR4PK,3/7/2022,"(""Mira Brown"", ""mirabrown@gmail.couk"", 'artist' , 'female', ""TYU62MBF4IB"", ""2022-08-04""),"
Mira Brown,mirabrown@gmail.couk,'artist' ,'female',TYU62MBF4IB,8/4/2022,"(""Lael Sevim"", ""laelsevim@gmail.couk"", 'artist' , 'male', ""WBM11DUR4QJ"", ""2022-08-19""),"
Lael Sevim,laelsevim@gmail.couk,'artist' ,'male',WBM11DUR4QJ,8/19/2022,"(""Forrest Hill"", ""forresthill@gmail.com"", 'artist' , 'male', ""ZUM79MTJ3KV"", ""2021-07-04""),"
