user_name,email,account_type,gender,bio,password,joining_date,postal_code,
Stephanie Norris,placerat.orci@yahoo.net,'artist','male',at pede. Cras,ut,2/25/2021,978060,"(""Stephanie Norris"", ""placerat.orci@yahoo.net"", 'artist', 'male', ""at pede. Cras"", ""ut"", ""2021-02-25""),"
Neve Mcmillan,cursus.nunc@icloud.edu,'artist','male',egestas ligula. Nullam feugiat,ligula.,2/12/2022,23131-27484,"(""Neve Mcmillan"", ""cursus.nunc@icloud.edu"", 'artist', 'male', ""egestas ligula. Nullam feugiat"", ""ligula."", ""2022-02-12""),"
Kimberly Zamora,dictum.cursus.nunc@yahoo.couk,'customer','female',"ut, nulla. Cras",vehicula,8/30/2022,24384-52737,"(""Kimberly Zamora"", ""dictum.cursus.nunc@yahoo.couk"", 'customer', 'female', ""ut, nulla. Cras"", ""vehicula"", ""2022-08-30""),"
Kessie Lambert,gravida.sagittis@hotmail.com,'customer','female',"lorem, eget mollis",neque,11/7/2022,52-662,"(""Kessie Lambert"", ""gravida.sagittis@hotmail.com"", 'customer', 'female', ""lorem, eget mollis"", ""neque"", ""2022-11-07""),"
Judith Riggs,dui.suspendisse.ac@google.ca,'artist','male',a sollicitudin orci sem,tellus,1/12/2021,70-911,"(""Judith Riggs"", ""dui.suspendisse.ac@google.ca"", 'artist', 'male', ""a sollicitudin orci sem"", ""tellus"", ""2021-01-12""),"
Simone Pacheco,commodo.ipsum.suspendisse@outlook.edu,'artist','male',Vivamus molestie dapibus ligula.,ac,3/28/2022,66952,"(""Simone Pacheco"", ""commodo.ipsum.suspendisse@outlook.edu"", 'artist', 'male', ""Vivamus molestie dapibus ligula."", ""ac"", ""2022-03-28""),"
Nomlanga Boyd,at.fringilla@icloud.couk,'customer','female',"pede, malesuada vel, venenatis vel,",ornare,8/8/2021,812,"(""Nomlanga Boyd"", ""at.fringilla@icloud.couk"", 'customer', 'female', ""pede, malesuada vel, venenatis vel,"", ""ornare"", ""2021-08-08""),"
Cassady Gutierrez,turpis@google.couk,'customer','female',nunc ac mattis,Suspendisse,8/12/2021,85525,"(""Cassady Gutierrez"", ""turpis@google.couk"", 'customer', 'female', ""nunc ac mattis"", ""Suspendisse"", ""2021-08-12""),"
Berk Stevenson,venenatis.a@icloud.org,'artist','male',"feugiat nec, diam. Duis","amet,",4/27/2022,555121,"(""Berk Stevenson"", ""venenatis.a@icloud.org"", 'artist', 'male', ""feugiat nec, diam. Duis"", ""amet,"", ""2022-04-27""),"
Justine Cannon,dui@icloud.com,'artist','male',aliquet. Phasellus fermentum convallis,varius,11/27/2022,924462,"(""Justine Cannon"", ""dui@icloud.com"", 'artist', 'male', ""aliquet. Phasellus fermentum convallis"", ""varius"", ""2022-11-27""),"
Marshall Moody,senectus.et@yahoo.org,'customer','female',neque et nunc. Quisque,nisi.,3/27/2022,826426,"(""Marshall Moody"", ""senectus.et@yahoo.org"", 'customer', 'female', ""neque et nunc. Quisque"", ""nisi."", ""2022-03-27""),"
Megan Ballard,malesuada@outlook.couk,'customer','female',Etiam,ac,8/30/2022,2674,"(""Megan Ballard"", ""malesuada@outlook.couk"", 'customer', 'female', ""Etiam"", ""ac"", ""2022-08-30""),"
Noble Schroeder,vitae@icloud.couk,'artist','male',Pellentesque ut,nulla,12/5/2022,51162-30582,"(""Noble Schroeder"", ""vitae@icloud.couk"", 'artist', 'male', ""Pellentesque ut"", ""nulla"", ""2022-12-05""),"
Arsenio Woodard,lobortis.quam@aol.com,'artist','male',Donec felis,nascetur,4/13/2021,497046,"(""Arsenio Woodard"", ""lobortis.quam@aol.com"", 'artist', 'male', ""Donec felis"", ""nascetur"", ""2021-04-13""),"
Carly Pate,tempus@aol.org,'customer','female',Duis gravida. Praesent,urna,4/20/2021,346648,"(""Carly Pate"", ""tempus@aol.org"", 'customer', 'female', ""Duis gravida. Praesent"", ""urna"", ""2021-04-20""),"
Ulysses Lewis,quisque@outlook.org,'customer','female',Donec non justo. Proin,Cras,9/21/2022,50231,"(""Ulysses Lewis"", ""quisque@outlook.org"", 'customer', 'female', ""Donec non justo. Proin"", ""Cras"", ""2022-09-21""),"
Richard Banks,luctus@outlook.ca,'artist','male',"mi, ac mattis velit",egestas.,12/8/2021,6164,"(""Richard Banks"", ""luctus@outlook.ca"", 'artist', 'male', ""mi, ac mattis velit"", ""egestas."", ""2021-12-08""),"
Amal Cox,at@google.org,'artist','male',"urna justo faucibus lectus, a",Vivamus,12/26/2022,2216,"(""Amal Cox"", ""at@google.org"", 'artist', 'male', ""urna justo faucibus lectus, a"", ""Vivamus"", ""2022-12-26""),"
Alexandra Preston,vulputate@protonmail.edu,'customer','female',eget lacus. Mauris,faucibus,1/19/2021,82825,"(""Alexandra Preston"", ""vulputate@protonmail.edu"", 'customer', 'female', ""eget lacus. Mauris"", ""faucibus"", ""2021-01-19""),"
Cruz Bates,orci.luctus@aol.edu,'customer','female',Proin mi. Aliquam,sit,1/6/2022,58-42,"(""Cruz Bates"", ""orci.luctus@aol.edu"", 'customer', 'female', ""Proin mi. Aliquam"", ""sit"", ""2022-01-06""),"
Tamara Robinson,duis.elementum@icloud.couk,'artist','male',diam. Pellentesque habitant morbi,vestibulum.,2/7/2021,751038,"(""Tamara Robinson"", ""duis.elementum@icloud.couk"", 'artist', 'male', ""diam. Pellentesque habitant morbi"", ""vestibulum."", ""2021-02-07""),"
Mona Neal,semper@icloud.org,'artist','male',in faucibus orci luctus,enim.,8/15/2021,303644,"(""Mona Neal"", ""semper@icloud.org"", 'artist', 'male', ""in faucibus orci luctus"", ""enim."", ""2021-08-15""),"
Adam Zimmerman,eleifend@aol.com,'customer','female',ac turpis egestas. Fusce,vel,11/10/2021,82628,"(""Adam Zimmerman"", ""eleifend@aol.com"", 'customer', 'female', ""ac turpis egestas. Fusce"", ""vel"", ""2021-11-10""),"
Karyn Velez,elementum.at@protonmail.edu,'customer','female',ultrices posuere,vehicula,5/17/2021,81-024,"(""Karyn Velez"", ""elementum.at@protonmail.edu"", 'customer', 'female', ""ultrices posuere"", ""vehicula"", ""2021-05-17""),"
Sydney Lang,suspendisse.tristique.neque@outlook.ca,'artist','male',metus,a,9/6/2021,844725,"(""Sydney Lang"", ""suspendisse.tristique.neque@outlook.ca"", 'artist', 'male', ""metus"", ""a"", ""2021-09-06""),"
Shelly Wynn,tincidunt.orci@google.edu,'artist','male',"vestibulum lorem,",mauris,7/19/2021,37423,"(""Shelly Wynn"", ""tincidunt.orci@google.edu"", 'artist', 'male', ""vestibulum lorem,"", ""mauris"", ""2021-07-19""),"
Jael Jenkins,aenean.eget.magna@icloud.edu,'customer','female',"mollis non,",pharetra,5/11/2021,46-23,"(""Jael Jenkins"", ""aenean.eget.magna@icloud.edu"", 'customer', 'female', ""mollis non,"", ""pharetra"", ""2021-05-11""),"
Jermaine Rice,urna@hotmail.ca,'customer','female',risus quis,est.,8/4/2021,78-408,"(""Jermaine Rice"", ""urna@hotmail.ca"", 'customer', 'female', ""risus quis"", ""est."", ""2021-08-04""),"
Linus Franklin,massa.rutrum@icloud.org,'artist','male',interdum libero,metus.,6/28/2022,465733,"(""Linus Franklin"", ""massa.rutrum@icloud.org"", 'artist', 'male', ""interdum libero"", ""metus."", ""2022-06-28""),"
Gillian Peterson,purus.duis@protonmail.edu,'artist','male',ultricies ligula. Nullam,ipsum,7/23/2021,186232,"(""Gillian Peterson"", ""purus.duis@protonmail.edu"", 'artist', 'male', ""ultricies ligula. Nullam"", ""ipsum"", ""2021-07-23""),"
Galvin Hickman,nullam.vitae@google.edu,'customer','female',accumsan laoreet ipsum. Curabitur,tortor,1/17/2021,89154-574,"(""Galvin Hickman"", ""nullam.vitae@google.edu"", 'customer', 'female', ""accumsan laoreet ipsum. Curabitur"", ""tortor"", ""2021-01-17""),"
Armando Henson,etiam@google.com,'customer','female',sit amet,fringilla,2/6/2022,723867,"(""Armando Henson"", ""etiam@google.com"", 'customer', 'female', ""sit amet"", ""fringilla"", ""2022-02-06""),"
Oren Stewart,fringilla.cursus@outlook.edu,'artist','male',orci,Cum,6/8/2022,1858,"(""Oren Stewart"", ""fringilla.cursus@outlook.edu"", 'artist', 'male', ""orci"", ""Cum"", ""2022-06-08""),"
Kay Jefferson,donec.sollicitudin.adipiscing@outlook.edu,'artist','male',felis eget,"pellentesque,",11/12/2022,451782,"(""Kay Jefferson"", ""donec.sollicitudin.adipiscing@outlook.edu"", 'artist', 'male', ""felis eget"", ""pellentesque,"", ""2022-11-12""),"
Philip Love,enim.nec@yahoo.edu,'customer','female',"est, vitae sodales",enim.,8/11/2022,181500,"(""Philip Love"", ""enim.nec@yahoo.edu"", 'customer', 'female', ""est, vitae sodales"", ""enim."", ""2022-08-11""),"
Gloria Gallegos,consectetuer.adipiscing.elit@hotmail.org,'customer','female',in lobortis,ornare.,2/14/2022,1323,"(""Gloria Gallegos"", ""consectetuer.adipiscing.elit@hotmail.org"", 'customer', 'female', ""in lobortis"", ""ornare."", ""2022-02-14""),"
Carol Mercado,eleifend.cras@protonmail.edu,'artist','male',"amet luctus vulputate, nisi",sed,6/4/2021,67015,"(""Carol Mercado"", ""eleifend.cras@protonmail.edu"", 'artist', 'male', ""amet luctus vulputate, nisi"", ""sed"", ""2021-06-04""),"
Daquan Nicholson,odio@hotmail.ca,'artist','male',"lectus. Nullam suscipit,",porttitor,11/8/2022,341438,"(""Daquan Nicholson"", ""odio@hotmail.ca"", 'artist', 'male', ""lectus. Nullam suscipit,"", ""porttitor"", ""2022-11-08""),"
Plato Delaney,metus.sit.amet@aol.org,'customer','female',"montes, nascetur ridiculus mus. Proin","augue,",11/21/2022,78151,"(""Plato Delaney"", ""metus.sit.amet@aol.org"", 'customer', 'female', ""montes, nascetur ridiculus mus. Proin"", ""augue,"", ""2022-11-21""),"
Inga Benjamin,amet@google.ca,'customer','female',"ligula elit, pretium",ante.,1/15/2021,812391,"(""Inga Benjamin"", ""amet@google.ca"", 'customer', 'female', ""ligula elit, pretium"", ""ante."", ""2021-01-15""),"
Emerson Doyle,augue.eu@outlook.ca,'artist','male',primis in faucibus orci,ac,1/5/2021,28283,"(""Emerson Doyle"", ""augue.eu@outlook.ca"", 'artist', 'male', ""primis in faucibus orci"", ""ac"", ""2021-01-05""),"
Kyle Wiggins,a.sollicitudin@outlook.edu,'artist','male',"quam, elementum at, egestas",enim.,6/19/2022,857752,"(""Kyle Wiggins"", ""a.sollicitudin@outlook.edu"", 'artist', 'male', ""quam, elementum at, egestas"", ""enim."", ""2022-06-19""),"
Iris Ayers,enim.commodo@hotmail.edu,'customer','female',"Integer sem elit,","convallis,",11/19/2021,47065,"(""Iris Ayers"", ""enim.commodo@hotmail.edu"", 'customer', 'female', ""Integer sem elit,"", ""convallis,"", ""2021-11-19""),"
Brock Leon,in.sodales.elit@hotmail.com,'customer','female',Nullam ut nisi a,vitae,11/6/2021,341914,"(""Brock Leon"", ""in.sodales.elit@hotmail.com"", 'customer', 'female', ""Nullam ut nisi a"", ""vitae"", ""2021-11-06""),"
Susan Richards,suspendisse.eleifend@aol.org,'artist','male',"mattis ornare, lectus ante",orci.,6/28/2022,29178,"(""Susan Richards"", ""suspendisse.eleifend@aol.org"", 'artist', 'male', ""mattis ornare, lectus ante"", ""orci."", ""2022-06-28""),"
Velma Garza,vitae.dolor@hotmail.net,'artist','male',"dolor, nonummy",eros.,12/29/2022,81457,"(""Velma Garza"", ""vitae.dolor@hotmail.net"", 'artist', 'male', ""dolor, nonummy"", ""eros."", ""2022-12-29""),"
Berk Lowe,mollis.nec@outlook.ca,'customer','female',ante ipsum primis in,Phasellus,12/27/2021,3856,"(""Berk Lowe"", ""mollis.nec@outlook.ca"", 'customer', 'female', ""ante ipsum primis in"", ""Phasellus"", ""2021-12-27""),"
Chancellor Gonzalez,lectus@protonmail.org,'customer','female',eros turpis,Donec,11/29/2021,OV41 7WT,"(""Chancellor Gonzalez"", ""lectus@protonmail.org"", 'customer', 'female', ""eros turpis"", ""Donec"", ""2021-11-29""),"
Freya Greene,at.libero.morbi@yahoo.org,'artist','male',commodo,luctus,11/20/2021,3731,"(""Freya Greene"", ""at.libero.morbi@yahoo.org"", 'artist', 'male', ""commodo"", ""luctus"", ""2021-11-20""),"
Vanna Hurst,mi.lorem@aol.com,'artist','male',gravida. Praesent eu,primis,1/14/2022,66003,"(""Vanna Hurst"", ""mi.lorem@aol.com"", 'artist', 'male', ""gravida. Praesent eu"", ""primis"", ""2022-01-14""),"
Cora Kelley,tortor@yahoo.org,'customer','female',ipsum. Suspendisse sagittis. Nullam vitae,enim.,10/30/2021,5528,"(""Cora Kelley"", ""tortor@yahoo.org"", 'customer', 'female', ""ipsum. Suspendisse sagittis. Nullam vitae"", ""enim."", ""2021-10-30""),"
Bell Tran,leo.vivamus.nibh@google.edu,'customer','female',"facilisis, magna tellus faucibus",luctus,1/6/2022,2347,"(""Bell Tran"", ""leo.vivamus.nibh@google.edu"", 'customer', 'female', ""facilisis, magna tellus faucibus"", ""luctus"", ""2022-01-06""),"
Irma Hinton,est@yahoo.couk,'artist','male',Nulla facilisis. Suspendisse commodo,vel,9/6/2022,647121,"(""Irma Hinton"", ""est@yahoo.couk"", 'artist', 'male', ""Nulla facilisis. Suspendisse commodo"", ""vel"", ""2022-09-06""),"
Lamar Noble,iaculis.nec@hotmail.ca,'artist','male',vel arcu eu odio,metus,1/2/2022,269026,"(""Lamar Noble"", ""iaculis.nec@hotmail.ca"", 'artist', 'male', ""vel arcu eu odio"", ""metus"", ""2022-01-02""),"
Abbot Hood,mauris.morbi@google.net,'customer','female',Suspendisse dui. Fusce diam,non,5/3/2022,45114,"(""Abbot Hood"", ""mauris.morbi@google.net"", 'customer', 'female', ""Suspendisse dui. Fusce diam"", ""non"", ""2022-05-03""),"
Rogan Vazquez,diam@google.net,'customer','female',in consequat enim diam,ultricies,4/2/2021,7432-3833,"(""Rogan Vazquez"", ""diam@google.net"", 'customer', 'female', ""in consequat enim diam"", ""ultricies"", ""2021-04-02""),"
Maite Hardy,dui.lectus@protonmail.com,'artist','male',risus quis diam,pharetra,5/17/2022,5554-0442,"(""Maite Hardy"", ""dui.lectus@protonmail.com"", 'artist', 'male', ""risus quis diam"", ""pharetra"", ""2022-05-17""),"
Leandra Meyer,dis.parturient@icloud.ca,'artist','male',metus facilisis lorem tristique,ante,5/11/2021,1452,"(""Leandra Meyer"", ""dis.parturient@icloud.ca"", 'artist', 'male', ""metus facilisis lorem tristique"", ""ante"", ""2021-05-11""),"
Hope O'donnell,sit@yahoo.org,'customer','female',"cursus et,",et,10/14/2021,651,"(""Hope O'donnell"", ""sit@yahoo.org"", 'customer', 'female', ""cursus et,"", ""et"", ""2021-10-14""),"
Honorato Malone,aliquet.lobortis.nisi@outlook.net,'customer','female',ultricies dignissim,fringilla,5/2/2022,680135,"(""Honorato Malone"", ""aliquet.lobortis.nisi@outlook.net"", 'customer', 'female', ""ultricies dignissim"", ""fringilla"", ""2022-05-02""),"
Yvette Quinn,sapien.molestie@hotmail.net,'artist','male',arcu.,Donec,11/15/2022,283831,"(""Yvette Quinn"", ""sapien.molestie@hotmail.net"", 'artist', 'male', ""arcu."", ""Donec"", ""2022-11-15""),"
Nichole Booth,nunc.nulla.vulputate@icloud.couk,'artist','male',"purus, in",Nunc,8/19/2022,0509 VY,"(""Nichole Booth"", ""nunc.nulla.vulputate@icloud.couk"", 'artist', 'male', ""purus, in"", ""Nunc"", ""2022-08-19""),"
Aimee Cameron,lacinia.mattis@google.org,'customer','female',rutrum lorem,Proin,11/15/2021,37212,"(""Aimee Cameron"", ""lacinia.mattis@google.org"", 'customer', 'female', ""rutrum lorem"", ""Proin"", ""2021-11-15""),"
Jolene Brock,risus.varius.orci@hotmail.edu,'customer','female',eu eros. Nam consequat,magna.,2/19/2021,2552,"(""Jolene Brock"", ""risus.varius.orci@hotmail.edu"", 'customer', 'female', ""eu eros. Nam consequat"", ""magna."", ""2021-02-19""),"
Jordan Castaneda,nullam.scelerisque@aol.couk,'artist','male',fermentum arcu. Vestibulum,sodales,3/26/2021,80-327,"(""Jordan Castaneda"", ""nullam.scelerisque@aol.couk"", 'artist', 'male', ""fermentum arcu. Vestibulum"", ""sodales"", ""2021-03-26""),"
Eaton Mendez,augue.id.ante@protonmail.org,'artist','male',"vehicula et,",sollicitudin,12/26/2022,663540,"(""Eaton Mendez"", ""augue.id.ante@protonmail.org"", 'artist', 'male', ""vehicula et,"", ""sollicitudin"", ""2022-12-26""),"
Kelly Rush,dolor@hotmail.org,'customer','female',lacus. Cras,Aliquam,3/25/2022,7586,"(""Kelly Rush"", ""dolor@hotmail.org"", 'customer', 'female', ""lacus. Cras"", ""Aliquam"", ""2022-03-25""),"
Dustin Hopkins,habitant.morbi@outlook.couk,'customer','female',est.,Quisque,2/17/2022,2616,"(""Dustin Hopkins"", ""habitant.morbi@outlook.couk"", 'customer', 'female', ""est."", ""Quisque"", ""2022-02-17""),"
Kai Nielsen,quis.urna@aol.ca,'artist','male',In faucibus.,sagittis.,1/6/2022,444509,"(""Kai Nielsen"", ""quis.urna@aol.ca"", 'artist', 'male', ""In faucibus."", ""sagittis."", ""2022-01-06""),"
Azalia Hart,semper@aol.edu,'artist','male',erat,risus,7/27/2021,5773,"(""Azalia Hart"", ""semper@aol.edu"", 'artist', 'male', ""erat"", ""risus"", ""2021-07-27""),"
Calvin Campbell,curae.donec@outlook.net,'customer','female',"amet, consectetuer adipiscing elit.",accumsan,12/21/2020,9786 SF,"(""Calvin Campbell"", ""curae.donec@outlook.net"", 'customer', 'female', ""amet, consectetuer adipiscing elit."", ""accumsan"", ""2020-12-21""),"
Wyoming Mcmahon,risus@icloud.org,'customer','female',rutrum magna. Cras,enim.,12/9/2021,672545,"(""Wyoming Mcmahon"", ""risus@icloud.org"", 'customer', 'female', ""rutrum magna. Cras"", ""enim."", ""2021-12-09""),"
Tasha Mccarty,est@hotmail.org,'artist','male',neque.,massa,4/20/2021,2555,"(""Tasha Mccarty"", ""est@hotmail.org"", 'artist', 'male', ""neque."", ""massa"", ""2021-04-20""),"
Elijah Davidson,laoreet.libero.et@aol.couk,'artist','male',"torquent per conubia nostra,",ad,6/9/2022,4611,"(""Elijah Davidson"", ""laoreet.libero.et@aol.couk"", 'artist', 'male', ""torquent per conubia nostra,"", ""ad"", ""2022-06-09""),"
Deacon Guerrero,etiam.imperdiet@google.com,'customer','female',"accumsan sed,",In,12/14/2021,94-41,"(""Deacon Guerrero"", ""etiam.imperdiet@google.com"", 'customer', 'female', ""accumsan sed,"", ""In"", ""2021-12-14""),"
Jin Neal,elit.dictum@icloud.org,'customer','female',"sem elit, pharetra",lacinia,9/5/2021,74527,"(""Jin Neal"", ""elit.dictum@icloud.org"", 'customer', 'female', ""sem elit, pharetra"", ""lacinia"", ""2021-09-05""),"
Chiquita Rosario,magna.a@hotmail.ca,'artist','male',at pede. Cras,"nec,",4/21/2022,95606,"(""Chiquita Rosario"", ""magna.a@hotmail.ca"", 'artist', 'male', ""at pede. Cras"", ""nec,"", ""2022-04-21""),"
Winter George,aenean.massa@aol.couk,'artist','male',Duis risus,Aenean,1/8/2021,692337,"(""Winter George"", ""aenean.massa@aol.couk"", 'artist', 'male', ""Duis risus"", ""Aenean"", ""2021-01-08""),"
Skyler Blackwell,maecenas.ornare.egestas@google.ca,'customer','female',habitant,morbi,10/23/2022,54P 2T7,"(""Skyler Blackwell"", ""maecenas.ornare.egestas@google.ca"", 'customer', 'female', ""habitant"", ""morbi"", ""2022-10-23""),"
